,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
1737,"market for electricity, low voltage",MK,CEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1738,"market for electricity, low voltage",MK,CEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
1739,"market for electricity, low voltage",MK,CEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
1740,"market for electricity, low voltage",MK,CEU, 3, slanted-roof , single-Si, panel, mounted, on roof
1741,"market for electricity, high voltage",SA,ME, 156 , flat-roof , multi-Si, on roof,,
1742,"market for electricity, high voltage",SA,ME, 156 , flat-roof , single-Si, on roof,,
1743,"market for electricity, high voltage",SA,ME, 570 , open ground , CIS, on open ground,,
1744,"market for electricity, high voltage",SA,ME, 570 , open ground , CdTe, on open ground,,
1745,"market for electricity, high voltage",SA,ME, 570 , open ground , micro-Si, on open ground,,
1746,"market for electricity, high voltage",SA,ME, 570 , open ground , multi-Si, on open ground,,
1747,"market for electricity, high voltage",SA,ME, 570 , open ground , single-Si, on open ground,,
1748,"market for electricity, high voltage",SA,ME, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1749,"market for electricity, high voltage",SA,ME, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1750,"market for electricity, high voltage",SA,ME, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1751,"market for electricity, high voltage",SA,ME, 93 , slanted-roof , single-Si, panel, mounted, on roof
1752,"market for electricity, low voltage",CA-AB,CAN, 3 , slanted-roof , CIS, laminated, integrated, on roof
1753,"market for electricity, low voltage",CA-AB,CAN, 3 , slanted-roof , CdTe, panel, mounted, on roof
1754,"market for electricity, low voltage",CA-AB,CAN, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1755,"market for electricity, low voltage",CA-AB,CAN, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1756,"market for electricity, low voltage",CA-AB,CAN, 3, facade , multi-Si, laminated, integrated, at building
1757,"market for electricity, low voltage",CA-AB,CAN, 3, facade , multi-Si, panel, mounted, at building
1758,"market for electricity, low voltage",CA-AB,CAN, 3, facade , single-Si, laminated, integrated, at building
1759,"market for electricity, low voltage",CA-AB,CAN, 3, facade , single-Si, panel, mounted, at building
1760,"market for electricity, low voltage",CA-AB,CAN, 3, flat-roof , multi-Si, on roof,,
1761,"market for electricity, low voltage",CA-AB,CAN, 3, flat-roof , single-Si, on roof,,
1762,"market for electricity, low voltage",CA-AB,CAN, 3, slanted-roof , CIS, panel, mounted, on roof
1763,"market for electricity, low voltage",CA-AB,CAN, 3, slanted-roof , CdTe, laminated, integrated, on roof
1764,"market for electricity, low voltage",CA-AB,CAN, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1765,"market for electricity, low voltage",CA-AB,CAN, 3, slanted-roof , multi-Si, panel, mounted, on roof
1766,"market for electricity, low voltage",CA-AB,CAN, 3, slanted-roof , single-Si, laminated, integrated, on roof
1767,"market for electricity, low voltage",CA-AB,CAN, 3, slanted-roof , single-Si, panel, mounted, on roof
1768,"market for electricity, high voltage",CA-NS,CAN, 156 , flat-roof , multi-Si, on roof,,
1769,"market for electricity, high voltage",CA-NS,CAN, 156 , flat-roof , single-Si, on roof,,
1770,"market for electricity, high voltage",CA-NS,CAN, 570 , open ground , CIS, on open ground,,
1771,"market for electricity, high voltage",CA-NS,CAN, 570 , open ground , CdTe, on open ground,,
1772,"market for electricity, high voltage",CA-NS,CAN, 570 , open ground , micro-Si, on open ground,,
1773,"market for electricity, high voltage",CA-NS,CAN, 570 , open ground , multi-Si, on open ground,,
1774,"market for electricity, high voltage",CA-NS,CAN, 570 , open ground , single-Si, on open ground,,
1775,"market for electricity, high voltage",CA-NS,CAN, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1776,"market for electricity, high voltage",CA-NS,CAN, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1777,"market for electricity, high voltage",CA-NS,CAN, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1778,"market for electricity, high voltage",CA-NS,CAN, 93 , slanted-roof , single-Si, panel, mounted, on roof
1779,"market for electricity, high voltage",UZ,STAN, 156 , flat-roof , multi-Si, on roof,,
1780,"market for electricity, high voltage",UZ,STAN, 156 , flat-roof , single-Si, on roof,,
1781,"market for electricity, high voltage",UZ,STAN, 570 , open ground , CIS, on open ground,,
1782,"market for electricity, high voltage",UZ,STAN, 570 , open ground , CdTe, on open ground,,
1783,"market for electricity, high voltage",UZ,STAN, 570 , open ground , micro-Si, on open ground,,
1784,"market for electricity, high voltage",UZ,STAN, 570 , open ground , multi-Si, on open ground,,
1785,"market for electricity, high voltage",UZ,STAN, 570 , open ground , single-Si, on open ground,,
1786,"market for electricity, high voltage",UZ,STAN, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1787,"market for electricity, high voltage",UZ,STAN, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1788,"market for electricity, high voltage",UZ,STAN, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1789,"market for electricity, high voltage",UZ,STAN, 93 , slanted-roof , single-Si, panel, mounted, on roof
1790,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3 , slanted-roof , CIS, laminated, integrated, on roof
1791,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3 , slanted-roof , CdTe, panel, mounted, on roof
1792,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1793,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1794,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, facade , multi-Si, laminated, integrated, at building
1795,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, facade , multi-Si, panel, mounted, at building
1796,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, facade , single-Si, laminated, integrated, at building
1797,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, facade , single-Si, panel, mounted, at building
1798,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, flat-roof , multi-Si, on roof,,
1799,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, flat-roof , single-Si, on roof,,
1800,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, slanted-roof , CIS, panel, mounted, on roof
1801,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, slanted-roof , CdTe, laminated, integrated, on roof
1802,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1803,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, slanted-roof , multi-Si, panel, mounted, on roof
1804,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, slanted-roof , single-Si, laminated, integrated, on roof
1805,"market for electricity, low voltage",IN-Eastern grid,INDIA, 3, slanted-roof , single-Si, panel, mounted, on roof
1806,"market for electricity, high voltage",SI,CEU, 156 , flat-roof , multi-Si, on roof,,
1807,"market for electricity, high voltage",SI,CEU, 156 , flat-roof , single-Si, on roof,,
1808,"market for electricity, high voltage",SI,CEU, 570 , open ground , CIS, on open ground,,
1809,"market for electricity, high voltage",SI,CEU, 570 , open ground , CdTe, on open ground,,
1810,"market for electricity, high voltage",SI,CEU, 570 , open ground , micro-Si, on open ground,,
1811,"market for electricity, high voltage",SI,CEU, 570 , open ground , multi-Si, on open ground,,
1812,"market for electricity, high voltage",SI,CEU, 570 , open ground , single-Si, on open ground,,
1813,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1814,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1815,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1816,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
1817,"market for electricity, high voltage",SI,CEU, 156 , flat-roof , multi-Si, on roof,,
1818,"market for electricity, high voltage",SI,CEU, 156 , flat-roof , single-Si, on roof,,
1819,"market for electricity, high voltage",SI,CEU, 570 , open ground , CIS, on open ground,,
1820,"market for electricity, high voltage",SI,CEU, 570 , open ground , CdTe, on open ground,,
1821,"market for electricity, high voltage",SI,CEU, 570 , open ground , micro-Si, on open ground,,
1822,"market for electricity, high voltage",SI,CEU, 570 , open ground , multi-Si, on open ground,,
1823,"market for electricity, high voltage",SI,CEU, 570 , open ground , single-Si, on open ground,,
1824,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1825,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1826,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1827,"market for electricity, high voltage",SI,CEU, 93 , slanted-roof , single-Si, panel, mounted, on roof
1828,"market for electricity, low voltage",IL,ME, 3 , slanted-roof , CIS, laminated, integrated, on roof
1829,"market for electricity, low voltage",IL,ME, 3 , slanted-roof , CdTe, panel, mounted, on roof
1830,"market for electricity, low voltage",IL,ME, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1831,"market for electricity, low voltage",IL,ME, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1832,"market for electricity, low voltage",IL,ME, 3, facade , multi-Si, laminated, integrated, at building
1833,"market for electricity, low voltage",IL,ME, 3, facade , multi-Si, panel, mounted, at building
1834,"market for electricity, low voltage",IL,ME, 3, facade , single-Si, laminated, integrated, at building
1835,"market for electricity, low voltage",IL,ME, 3, facade , single-Si, panel, mounted, at building
1836,"market for electricity, low voltage",IL,ME, 3, flat-roof , multi-Si, on roof,,
1837,"market for electricity, low voltage",IL,ME, 3, flat-roof , single-Si, on roof,,
1838,"market for electricity, low voltage",IL,ME, 3, slanted-roof , CIS, panel, mounted, on roof
1839,"market for electricity, low voltage",IL,ME, 3, slanted-roof , CdTe, laminated, integrated, on roof
1840,"market for electricity, low voltage",IL,ME, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1841,"market for electricity, low voltage",IL,ME, 3, slanted-roof , multi-Si, panel, mounted, on roof
1842,"market for electricity, low voltage",IL,ME, 3, slanted-roof , single-Si, laminated, integrated, on roof
1843,"market for electricity, low voltage",IL,ME, 3, slanted-roof , single-Si, panel, mounted, on roof
1844,"market for electricity, high voltage",SG,SEAS, 156 , flat-roof , multi-Si, on roof,,
1845,"market for electricity, high voltage",SG,SEAS, 156 , flat-roof , single-Si, on roof,,
1846,"market for electricity, high voltage",SG,SEAS, 570 , open ground , CIS, on open ground,,
1847,"market for electricity, high voltage",SG,SEAS, 570 , open ground , CdTe, on open ground,,
1848,"market for electricity, high voltage",SG,SEAS, 570 , open ground , micro-Si, on open ground,,
1849,"market for electricity, high voltage",SG,SEAS, 570 , open ground , multi-Si, on open ground,,
1850,"market for electricity, high voltage",SG,SEAS, 570 , open ground , single-Si, on open ground,,
1851,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1852,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1853,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1854,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , single-Si, panel, mounted, on roof
1855,"market for electricity, high voltage",SG,SEAS, 156 , flat-roof , multi-Si, on roof,,
1856,"market for electricity, high voltage",SG,SEAS, 156 , flat-roof , single-Si, on roof,,
1857,"market for electricity, high voltage",SG,SEAS, 570 , open ground , CIS, on open ground,,
1858,"market for electricity, high voltage",SG,SEAS, 570 , open ground , CdTe, on open ground,,
1859,"market for electricity, high voltage",SG,SEAS, 570 , open ground , micro-Si, on open ground,,
1860,"market for electricity, high voltage",SG,SEAS, 570 , open ground , multi-Si, on open ground,,
1861,"market for electricity, high voltage",SG,SEAS, 570 , open ground , single-Si, on open ground,,
1862,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1863,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1864,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1865,"market for electricity, high voltage",SG,SEAS, 93 , slanted-roof , single-Si, panel, mounted, on roof
1866,"market for electricity, high voltage",CA-YK,CAN, 156 , flat-roof , multi-Si, on roof,,
1867,"market for electricity, high voltage",CA-YK,CAN, 156 , flat-roof , single-Si, on roof,,
1868,"market for electricity, high voltage",CA-YK,CAN, 570 , open ground , CIS, on open ground,,
1869,"market for electricity, high voltage",CA-YK,CAN, 570 , open ground , CdTe, on open ground,,
1870,"market for electricity, high voltage",CA-YK,CAN, 570 , open ground , micro-Si, on open ground,,
1871,"market for electricity, high voltage",CA-YK,CAN, 570 , open ground , multi-Si, on open ground,,
1872,"market for electricity, high voltage",CA-YK,CAN, 570 , open ground , single-Si, on open ground,,
1873,"market for electricity, high voltage",CA-YK,CAN, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1874,"market for electricity, high voltage",CA-YK,CAN, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1875,"market for electricity, high voltage",CA-YK,CAN, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1876,"market for electricity, high voltage",CA-YK,CAN, 93 , slanted-roof , single-Si, panel, mounted, on roof
1877,"market for electricity, low voltage",BO,RSAM, 3 , slanted-roof , CIS, laminated, integrated, on roof
1878,"market for electricity, low voltage",BO,RSAM, 3 , slanted-roof , CdTe, panel, mounted, on roof
1879,"market for electricity, low voltage",BO,RSAM, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1880,"market for electricity, low voltage",BO,RSAM, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1881,"market for electricity, low voltage",BO,RSAM, 3, facade , multi-Si, laminated, integrated, at building
1882,"market for electricity, low voltage",BO,RSAM, 3, facade , multi-Si, panel, mounted, at building
1883,"market for electricity, low voltage",BO,RSAM, 3, facade , single-Si, laminated, integrated, at building
1884,"market for electricity, low voltage",BO,RSAM, 3, facade , single-Si, panel, mounted, at building
1885,"market for electricity, low voltage",BO,RSAM, 3, flat-roof , multi-Si, on roof,,
1886,"market for electricity, low voltage",BO,RSAM, 3, flat-roof , single-Si, on roof,,
1887,"market for electricity, low voltage",BO,RSAM, 3, slanted-roof , CIS, panel, mounted, on roof
1888,"market for electricity, low voltage",BO,RSAM, 3, slanted-roof , CdTe, laminated, integrated, on roof
1889,"market for electricity, low voltage",BO,RSAM, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1890,"market for electricity, low voltage",BO,RSAM, 3, slanted-roof , multi-Si, panel, mounted, on roof
1891,"market for electricity, low voltage",BO,RSAM, 3, slanted-roof , single-Si, laminated, integrated, on roof
1892,"market for electricity, low voltage",BO,RSAM, 3, slanted-roof , single-Si, panel, mounted, on roof
1893,"market for electricity, low voltage",AM,RUS, 3 , slanted-roof , CIS, laminated, integrated, on roof
1894,"market for electricity, low voltage",AM,RUS, 3 , slanted-roof , CdTe, panel, mounted, on roof
1895,"market for electricity, low voltage",AM,RUS, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1896,"market for electricity, low voltage",AM,RUS, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1897,"market for electricity, low voltage",AM,RUS, 3, facade , multi-Si, laminated, integrated, at building
1898,"market for electricity, low voltage",AM,RUS, 3, facade , multi-Si, panel, mounted, at building
1899,"market for electricity, low voltage",AM,RUS, 3, facade , single-Si, laminated, integrated, at building
1900,"market for electricity, low voltage",AM,RUS, 3, facade , single-Si, panel, mounted, at building
1901,"market for electricity, low voltage",AM,RUS, 3, flat-roof , multi-Si, on roof,,
1902,"market for electricity, low voltage",AM,RUS, 3, flat-roof , single-Si, on roof,,
1903,"market for electricity, low voltage",AM,RUS, 3, slanted-roof , CIS, panel, mounted, on roof
1904,"market for electricity, low voltage",AM,RUS, 3, slanted-roof , CdTe, laminated, integrated, on roof
1905,"market for electricity, low voltage",AM,RUS, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1906,"market for electricity, low voltage",AM,RUS, 3, slanted-roof , multi-Si, panel, mounted, on roof
1907,"market for electricity, low voltage",AM,RUS, 3, slanted-roof , single-Si, laminated, integrated, on roof
1908,"market for electricity, low voltage",AM,RUS, 3, slanted-roof , single-Si, panel, mounted, on roof
1909,"market for electricity, low voltage",MU,EAF, 3 , slanted-roof , CIS, laminated, integrated, on roof
1910,"market for electricity, low voltage",MU,EAF, 3 , slanted-roof , CdTe, panel, mounted, on roof
1911,"market for electricity, low voltage",MU,EAF, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1912,"market for electricity, low voltage",MU,EAF, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1913,"market for electricity, low voltage",MU,EAF, 3, facade , multi-Si, laminated, integrated, at building
1914,"market for electricity, low voltage",MU,EAF, 3, facade , multi-Si, panel, mounted, at building
1915,"market for electricity, low voltage",MU,EAF, 3, facade , single-Si, laminated, integrated, at building
1916,"market for electricity, low voltage",MU,EAF, 3, facade , single-Si, panel, mounted, at building
1917,"market for electricity, low voltage",MU,EAF, 3, flat-roof , multi-Si, on roof,,
1918,"market for electricity, low voltage",MU,EAF, 3, flat-roof , single-Si, on roof,,
1919,"market for electricity, low voltage",MU,EAF, 3, slanted-roof , CIS, panel, mounted, on roof
1920,"market for electricity, low voltage",MU,EAF, 3, slanted-roof , CdTe, laminated, integrated, on roof
1921,"market for electricity, low voltage",MU,EAF, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1922,"market for electricity, low voltage",MU,EAF, 3, slanted-roof , multi-Si, panel, mounted, on roof
1923,"market for electricity, low voltage",MU,EAF, 3, slanted-roof , single-Si, laminated, integrated, on roof
1924,"market for electricity, low voltage",MU,EAF, 3, slanted-roof , single-Si, panel, mounted, on roof
1925,"market for electricity, low voltage",US-NPCC,USA, 3 , slanted-roof , CIS, laminated, integrated, on roof
1926,"market for electricity, low voltage",US-NPCC,USA, 3 , slanted-roof , CdTe, panel, mounted, on roof
1927,"market for electricity, low voltage",US-NPCC,USA, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1928,"market for electricity, low voltage",US-NPCC,USA, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1929,"market for electricity, low voltage",US-NPCC,USA, 3, facade , multi-Si, laminated, integrated, at building
1930,"market for electricity, low voltage",US-NPCC,USA, 3, facade , multi-Si, panel, mounted, at building
1931,"market for electricity, low voltage",US-NPCC,USA, 3, facade , single-Si, laminated, integrated, at building
1932,"market for electricity, low voltage",US-NPCC,USA, 3, facade , single-Si, panel, mounted, at building
1933,"market for electricity, low voltage",US-NPCC,USA, 3, flat-roof , multi-Si, on roof,,
1934,"market for electricity, low voltage",US-NPCC,USA, 3, flat-roof , single-Si, on roof,,
1935,"market for electricity, low voltage",US-NPCC,USA, 3, slanted-roof , CIS, panel, mounted, on roof
1936,"market for electricity, low voltage",US-NPCC,USA, 3, slanted-roof , CdTe, laminated, integrated, on roof
1937,"market for electricity, low voltage",US-NPCC,USA, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1938,"market for electricity, low voltage",US-NPCC,USA, 3, slanted-roof , multi-Si, panel, mounted, on roof
1939,"market for electricity, low voltage",US-NPCC,USA, 3, slanted-roof , single-Si, laminated, integrated, on roof
1940,"market for electricity, low voltage",US-NPCC,USA, 3, slanted-roof , single-Si, panel, mounted, on roof
1941,"market for electricity, high voltage",CM,WAF, 156 , flat-roof , multi-Si, on roof,,
1942,"market for electricity, high voltage",CM,WAF, 156 , flat-roof , single-Si, on roof,,
1943,"market for electricity, high voltage",CM,WAF, 570 , open ground , CIS, on open ground,,
1944,"market for electricity, high voltage",CM,WAF, 570 , open ground , CdTe, on open ground,,
1945,"market for electricity, high voltage",CM,WAF, 570 , open ground , micro-Si, on open ground,,
1946,"market for electricity, high voltage",CM,WAF, 570 , open ground , multi-Si, on open ground,,
1947,"market for electricity, high voltage",CM,WAF, 570 , open ground , single-Si, on open ground,,
1948,"market for electricity, high voltage",CM,WAF, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
1949,"market for electricity, high voltage",CM,WAF, 93 , slanted-roof , multi-Si, panel, mounted, on roof
1950,"market for electricity, high voltage",CM,WAF, 93 , slanted-roof , single-Si, laminated, integrated, on roof
1951,"market for electricity, high voltage",CM,WAF, 93 , slanted-roof , single-Si, panel, mounted, on roof
1952,"market for electricity, low voltage",MX,MEX, 3 , slanted-roof , CIS, laminated, integrated, on roof
1953,"market for electricity, low voltage",MX,MEX, 3 , slanted-roof , CdTe, panel, mounted, on roof
1954,"market for electricity, low voltage",MX,MEX, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1955,"market for electricity, low voltage",MX,MEX, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1956,"market for electricity, low voltage",MX,MEX, 3, facade , multi-Si, laminated, integrated, at building
1957,"market for electricity, low voltage",MX,MEX, 3, facade , multi-Si, panel, mounted, at building
1958,"market for electricity, low voltage",MX,MEX, 3, facade , single-Si, laminated, integrated, at building
1959,"market for electricity, low voltage",MX,MEX, 3, facade , single-Si, panel, mounted, at building
1960,"market for electricity, low voltage",MX,MEX, 3, flat-roof , multi-Si, on roof,,
1961,"market for electricity, low voltage",MX,MEX, 3, flat-roof , single-Si, on roof,,
1962,"market for electricity, low voltage",MX,MEX, 3, slanted-roof , CIS, panel, mounted, on roof
1963,"market for electricity, low voltage",MX,MEX, 3, slanted-roof , CdTe, laminated, integrated, on roof
1964,"market for electricity, low voltage",MX,MEX, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1965,"market for electricity, low voltage",MX,MEX, 3, slanted-roof , multi-Si, panel, mounted, on roof
1966,"market for electricity, low voltage",MX,MEX, 3, slanted-roof , single-Si, laminated, integrated, on roof
1967,"market for electricity, low voltage",MX,MEX, 3, slanted-roof , single-Si, panel, mounted, on roof
1968,"market for electricity, low voltage",CA-NS,CAN, 3 , slanted-roof , CIS, laminated, integrated, on roof
1969,"market for electricity, low voltage",CA-NS,CAN, 3 , slanted-roof , CdTe, panel, mounted, on roof
1970,"market for electricity, low voltage",CA-NS,CAN, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1971,"market for electricity, low voltage",CA-NS,CAN, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1972,"market for electricity, low voltage",CA-NS,CAN, 3, facade , multi-Si, laminated, integrated, at building
1973,"market for electricity, low voltage",CA-NS,CAN, 3, facade , multi-Si, panel, mounted, at building
1974,"market for electricity, low voltage",CA-NS,CAN, 3, facade , single-Si, laminated, integrated, at building
1975,"market for electricity, low voltage",CA-NS,CAN, 3, facade , single-Si, panel, mounted, at building
1976,"market for electricity, low voltage",CA-NS,CAN, 3, flat-roof , multi-Si, on roof,,
1977,"market for electricity, low voltage",CA-NS,CAN, 3, flat-roof , single-Si, on roof,,
1978,"market for electricity, low voltage",CA-NS,CAN, 3, slanted-roof , CIS, panel, mounted, on roof
1979,"market for electricity, low voltage",CA-NS,CAN, 3, slanted-roof , CdTe, laminated, integrated, on roof
1980,"market for electricity, low voltage",CA-NS,CAN, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1981,"market for electricity, low voltage",CA-NS,CAN, 3, slanted-roof , multi-Si, panel, mounted, on roof
1982,"market for electricity, low voltage",CA-NS,CAN, 3, slanted-roof , single-Si, laminated, integrated, on roof
1983,"market for electricity, low voltage",CA-NS,CAN, 3, slanted-roof , single-Si, panel, mounted, on roof
1984,"market for electricity, low voltage",BD,RSAS, 3 , slanted-roof , CIS, laminated, integrated, on roof
1985,"market for electricity, low voltage",BD,RSAS, 3 , slanted-roof , CdTe, panel, mounted, on roof
1986,"market for electricity, low voltage",BD,RSAS, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
1987,"market for electricity, low voltage",BD,RSAS, 3 , slanted-roof , micro-Si, panel, mounted, on roof
1988,"market for electricity, low voltage",BD,RSAS, 3, facade , multi-Si, laminated, integrated, at building
1989,"market for electricity, low voltage",BD,RSAS, 3, facade , multi-Si, panel, mounted, at building
1990,"market for electricity, low voltage",BD,RSAS, 3, facade , single-Si, laminated, integrated, at building
1991,"market for electricity, low voltage",BD,RSAS, 3, facade , single-Si, panel, mounted, at building
1992,"market for electricity, low voltage",BD,RSAS, 3, flat-roof , multi-Si, on roof,,
1993,"market for electricity, low voltage",BD,RSAS, 3, flat-roof , single-Si, on roof,,
1994,"market for electricity, low voltage",BD,RSAS, 3, slanted-roof , CIS, panel, mounted, on roof
1995,"market for electricity, low voltage",BD,RSAS, 3, slanted-roof , CdTe, laminated, integrated, on roof
1996,"market for electricity, low voltage",BD,RSAS, 3, slanted-roof , multi-Si, laminated, integrated, on roof
1997,"market for electricity, low voltage",BD,RSAS, 3, slanted-roof , multi-Si, panel, mounted, on roof
1998,"market for electricity, low voltage",BD,RSAS, 3, slanted-roof , single-Si, laminated, integrated, on roof
1999,"market for electricity, low voltage",BD,RSAS, 3, slanted-roof , single-Si, panel, mounted, on roof
2000,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , CIS, laminated, integrated, on roof
2001,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , CdTe, panel, mounted, on roof
2002,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
2003,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , micro-Si, panel, mounted, on roof
2004,"market for electricity, low voltage",SG,SEAS, 3, facade , multi-Si, laminated, integrated, at building
2005,"market for electricity, low voltage",SG,SEAS, 3, facade , multi-Si, panel, mounted, at building
2006,"market for electricity, low voltage",SG,SEAS, 3, facade , single-Si, laminated, integrated, at building
2007,"market for electricity, low voltage",SG,SEAS, 3, facade , single-Si, panel, mounted, at building
2008,"market for electricity, low voltage",SG,SEAS, 3, flat-roof , multi-Si, on roof,,
2009,"market for electricity, low voltage",SG,SEAS, 3, flat-roof , single-Si, on roof,,
2010,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , CIS, panel, mounted, on roof
2011,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , CdTe, laminated, integrated, on roof
2012,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , multi-Si, laminated, integrated, on roof
2013,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , multi-Si, panel, mounted, on roof
2014,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , single-Si, laminated, integrated, on roof
2015,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , single-Si, panel, mounted, on roof
2016,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , CIS, laminated, integrated, on roof
2017,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , CdTe, panel, mounted, on roof
2018,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
2019,"market for electricity, low voltage",SG,SEAS, 3 , slanted-roof , micro-Si, panel, mounted, on roof
2020,"market for electricity, low voltage",SG,SEAS, 3, facade , multi-Si, laminated, integrated, at building
2021,"market for electricity, low voltage",SG,SEAS, 3, facade , multi-Si, panel, mounted, at building
2022,"market for electricity, low voltage",SG,SEAS, 3, facade , single-Si, laminated, integrated, at building
2023,"market for electricity, low voltage",SG,SEAS, 3, facade , single-Si, panel, mounted, at building
2024,"market for electricity, low voltage",SG,SEAS, 3, flat-roof , multi-Si, on roof,,
2025,"market for electricity, low voltage",SG,SEAS, 3, flat-roof , single-Si, on roof,,
2026,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , CIS, panel, mounted, on roof
2027,"market for electricity, low voltage",SG,SEAS, 3, slanted-roof , CdTe, laminated, integrated, on roof
