,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
56,"market for electricity, high voltage",NA,RSAF, 570 , open ground , CIS, on open ground,,
57,"market for electricity, high voltage",NA,RSAF, 570 , open ground , CdTe, on open ground,,
58,"market for electricity, high voltage",NA,RSAF, 570 , open ground , micro-Si, on open ground,,
59,"market for electricity, high voltage",NA,RSAF, 570 , open ground , multi-Si, on open ground,,
60,"market for electricity, high voltage",NA,RSAF, 570 , open ground , single-Si, on open ground,,
61,"market for electricity, high voltage",NA,RSAF, 93 , slanted-roof , multi-Si, laminated, integrated, on roof
62,"market for electricity, high voltage",NA,RSAF, 93 , slanted-roof , multi-Si, panel, mounted, on roof
63,"market for electricity, high voltage",NA,RSAF, 93 , slanted-roof , single-Si, laminated, integrated, on roof
64,"market for electricity, high voltage",NA,RSAF, 93 , slanted-roof , single-Si, panel, mounted, on roof
65,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
66,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
67,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
68,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
69,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
70,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
71,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
72,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
73,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
74,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
75,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
76,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
77,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
78,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
79,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
80,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
81,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
82,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
83,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
84,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
85,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
86,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
87,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
88,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
89,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
